V jenkins:promoted_builds ---expect--> org.jenkins-ci.plugins:promoted-builds
   > 19.5580  org.jenkins-ci.plugins:release
   > 19.5580  org.jenkins-ci.plugins:terminal
   > 19.5580  org.jenkins-ci.plugins:dependencyanalyzer
   > 19.5580  org.jenkins-ci.plugins:sonar
   > 19.5580  org.jenkins-ci.plugins:rb
   > 19.5580  org.jenkins-ci.plugins:proxmox
   > 19.5580  org.jenkins-ci.plugins:groovyaxis
   > 19.5580  org.jenkins-ci.plugins:themis
   > 19.5580  org.jenkins-ci.plugins:gitee
   > 19.5580  org.jenkins-ci.plugins:vncviewer
   > 19.5580  org.jenkins-ci.plugins:cloudfoundry
   > 19.5580  org.jenkins-ci.plugins:worksoftcertifydashboard
   > 19.5580  org.jenkins-ci.plugins:mstestrunner
   > 19.5580  org.jenkins-ci.plugins:zap
   > 19.5580  org.jenkins-ci.plugins:zubhium
   > 19.5580  org.jenkins-ci.plugins:mdtool
   > 19.5580  org.jenkins-ci.plugins:ezwall
   > 19.5580  org.jenkins-ci.plugins:svnmerge
   > 19.5580  org.jenkins-ci.plugins:groovy
   > 19.5580  org.jenkins-ci.plugins:clover
   > 19.5580  org.jenkins-ci.plugins:testweaver
   > 19.5580  org.jenkins-ci.plugins:jswidgets
   > 19.5580  org.jenkins-ci.plugins:pagerduty
   > 19.5580  org.jenkins-ci.plugins:artifactory
   > 19.5580  org.jenkins-ci.plugins:violations
   > 19.5580  org.jenkins-ci.plugins:koji
   > 19.5580  org.jenkins-ci.plugins:keycloak
   > 19.5580  org.jenkins-ci.plugins:uptime
   > 19.5580  org.jenkins-ci.plugins:gitorious
   > 19.5580  org.jenkins-ci.plugins:xframium
   > 19.5580  org.jenkins-ci.plugins:swarm
   > 19.5580  org.jenkins-ci.plugins:googlecode
   > 19.5580  org.jenkins-ci.plugins:gitbucket
   > 19.5580  org.jenkins-ci.plugins:coordinator
   > 19.5580  org.jenkins-ci.plugins:deploy
   > 19.5580  org.jenkins-ci.plugins:bigpanda-jenkins
   > 19.5580  org.jenkins-ci.plugins:cmvc
   > 19.5580  org.jenkins-ci.plugins:buildrotator
   > 19.5580  org.jenkins-ci.plugins:claim
   > 19.5580  org.jenkins-ci.plugins:simpleupdatesite
   > 19.5580  org.jenkins-ci.plugins:covcomplplot
   > 19.5580  org.jenkins-ci.plugins:golang
   > 19.5580  org.jenkins-ci.plugins:gatling
   > 19.5580  org.jenkins-ci.plugins:codehealth
   > 19.5580  org.jenkins-ci.plugins:codedx
   > 19.5580  org.jenkins-ci.plugins:literate
   > 19.5580  org.jenkins-ci.plugins:translation
   > 19.5580  org.jenkins-ci.plugins:zapper
   > 19.5580  org.jenkins-ci.plugins:fstrigger
   > 19.5580  org.jenkins-ci.plugins:SBuild
   > 19.5580  org.jenkins-ci.plugins:rundeck
   > 19.5580  org.jenkins-ci.plugins:backlog
   > 19.5580  org.jenkins-ci.plugins:periodicbackup
   > 19.5580  org.jenkins-ci.plugins:graven
   > 19.5580  org.jenkins-ci.plugins:diskcheck
   > 19.5580  org.jenkins-ci.plugins:xtrigger
   > 19.5580  org.jenkins-ci.plugins:threadfix
   > 19.5580  org.jenkins-ci.plugins:vboxwrapper
   > 19.5580  org.jenkins-ci.plugins:slack
   > 19.5580  org.jenkins-ci.plugins:grayballs
   > 19.5580  org.jenkins-ci.plugins:accurev
   > 19.5580  org.jenkins-ci.plugins:jsoup
   > 19.5580  org.jenkins-ci.plugins:delphix
   > 19.5580  org.jenkins-ci.plugins:mypeople
   > 19.5580  org.jenkins-ci.plugins:xvnc
   > 19.5580  org.jenkins-ci.plugins:housekeeper
   > 19.5580  org.jenkins-ci.plugins:javadoc
   > 19.5580  org.jenkins-ci.plugins:scriptler
   > 19.5580  org.jenkins-ci.plugins:dumpling
   > 19.5580  org.jenkins-ci.plugins:twitter
   > 19.5580  org.jenkins-ci.plugins:vagrant
   > 19.5580  org.jenkins-ci.plugins:gnat
   > 19.5580  org.jenkins-ci.plugins:spotinst
   > 19.5580  org.jenkins-ci.plugins:cocoemma
   > 19.5580  org.jenkins-ci.plugins:jprt
   > 19.5580  org.jenkins-ci.plugins:continuum
   > 19.5580  org.jenkins-ci.plugins:openid
   > 19.5580  org.jenkins-ci.plugins:testrail
   > 19.5580  org.jenkins-ci.plugins:assembla
   > 19.5580  org.jenkins-ci.plugins:rotatews
   > 19.5580  org.jenkins-ci.plugins:nodejs
   > 19.5580  org.jenkins-ci.plugins:majorminor
   > 19.5580  org.jenkins-ci.plugins:trac
   > 19.5580  org.jenkins-ci.plugins:openconnect
   > 19.5580  org.jenkins-ci.plugins:synergy
   > 19.5580  org.jenkins-ci.plugins:rocketchatnotifier
   > 19.5580  org.jenkins-ci.plugins:repo
   > 19.5580  org.jenkins-ci.plugins:plugin
   > 19.5580  org.jenkins-ci.plugins:jsgames
   > 19.5580  org.jenkins-ci.plugins:impersonation
   > 19.5580  org.jenkins-ci.plugins:versioncolumn
   > 19.5580  org.jenkins-ci.plugins:flexdeploy
   > 19.5580  org.jenkins-ci.plugins:bumblebee
   > 19.5580  org.jenkins-ci.plugins:growl
   > 19.5580  org.jenkins-ci.plugins:perfectomobile
   > 19.5580  org.jenkins-ci.plugins:warrior
   > 19.5580  org.jenkins-ci.plugins:matrixtieparent
   > 19.5580  org.jenkins-ci.plugins:packagecloud
   > 19.5580  org.jenkins-ci.plugins:ivy
   > 19.5580  org.jenkins-ci.plugins:chromedriver
   > 19.5580  org.jenkins-ci.plugins:mktmpio
   > 19.5580  org.jenkins-ci.plugins:itest
   > 19.5580  org.jenkins-ci.plugins:msginject
   > 19.5580  org.jenkins-ci.plugins:phing
   > 19.5580  org.jenkins-ci.plugins:jenkinslint
   > 19.5580  org.jenkins-ci.plugins:internetmeme
   > 19.5580  org.jenkins-ci.plugins:jobcacher
   > 19.5580  org.jenkins-ci.plugins:installshield
   > 19.5580  org.jenkins-ci.plugins:doony
   > 19.5580  com.elasticbox.jenkins-ci.plugins:elasticbox
   > 19.5580  org.jenkins-ci.plugins:jianliao
   > 19.5580  org.jenkins-ci.plugins:humio
   > 19.5580  org.jenkins-ci.plugins:crowd2
   > 19.5580  org.jenkins-ci.plugins:beer
   > 19.5580  org.jenkins-ci.plugins:apprenda
   > 19.5580  org.jenkins-ci.plugins:mongodb
   > 19.5580  org.jenkins-ci.plugins:utplsql
   > 19.5580  org.jenkins-ci.plugins:valgrind
   > 19.5580  org.jenkins-ci.plugins:rhamt
   > 19.5580  org.jenkins-ci.plugins:kafkalogs
   > 19.5580  org.jenkins-ci.plugins:mailcommander
   > 19.5580  org.jenkins-ci.plugins:collabnet
